domanda;risp_A;risp_B;risp_C;risp_corretta;pti
"Attraverso quali vie può avvenire un'intossicazione acuta?";"Solamente per ingestione";"Attraverso la pelle, per ingestione e attraverso l'apparato respiratorio";"Solamente attraverso la pelle";"B";"2"
"Al termine dei trattamenti cosa occorre fare prima di mangiare, bere, fumare o compiere atti fisiologici?";"Nel caso in cui siano stati distribuiti prodotti poco tossici non occorre adottare alcuna precauzione";"Togliersi sempre i DPI, gli indumenti contaminati e lavarsi accuratamente possibilmente facendo una doccia";"Lasciar trascorrere alcune ore prima di mangiare, bere, fumare";"B";"1"
"Usando prodotti fitosanitari, se capita di bagnarsi con la nube irrorante, quali precauzioni bisogna seguire?";"È sufficiente cambiarsi gli indumenti protettivi";"Sospendere il lavoro, lavarsi accuratamente e cambiarsi gli indumenti";"Spogliarsi ed asciugarsi con un panno asciutto";"B";"3"
"Come si deve comportare l'operatore al termine di ogni trattamento?";"Lavarsi le mani";"Spogliarsi e lavarsi abbondantemente con acqua e sapone (possibilmente doccia)";"Nessuna precauzione perché al termine dei trattamenti non si corre alcun pericolo";"B";"1"
"Quale manutenzione richiede la maschera che viene usata durante i trattamenti?";"Bisogna lavare accuratamente il filtro";"Bisogna svitare il filtro, lavare la parte portante dopo l'uso e sostituire il filtro seguendo le indicazioni del produttore";"Deve essere revisionata almeno una volta all'anno e il filtro deve essere sostituito ogni volta.";"B";"3"
"Cosa deve fare l'utilizzatore di una maschera con filtro ""antigas"" efficace contro i vapori organici?";"Sostituire il filtro alla data di scadenza";"Se il filtro non è mai stato usato non è necessario sostituirlo alla data di scadenza";"Verificare la tenuta della maschera alla scadenza del filtro";"A";"2"
"L'utilizzatore di un facciale filtrante con filtro ""antipolvere-antigas""...";"è inutile che si accerti della data di scadenza";"deve verificare che sia adeguato al rischio e, se il filtro è già stato usato, accertarsi che sia stato conservato correttamente";"deve solo accertarsi che il filtro sia integro";"B";"1"
"Un utilizzatore con barba quale DPI deve utilizzare per la protezione delle vie respiratorie?";"Semimaschera";"Casco";"Maschera in tessuto non tessuto";"B";"2"
"Durante il trasporto dei prodotti fitosanitari acquistati è necessario disporre di Dispositivi di Protezione Individuale?";"Si, perché in caso di rottura delle confezioni e/o sversamenti è necessario indossare i DPI";"Solo se si sono acquistati prodotti fitosanitari sfusi";"Mai, perché la fase di trasporto non rientra tra quelle a rischio di contatto con il prodotto fitosanitario";"A";"2"
"Con quale colore è contrassegnato un filtro per vapori organici?";"Marrone";"Grigio";"Verde";"A";"3"
"Quale colore e quale lettera identificano un filtro per polveri?";"Bianco A";"Bianco P";"Marrone A";"B";"3"
"Nel caso di utilizzo dei filtri combinati per polveri e vapori organici, questi come devono essere posizionati?";"È indifferente";"Sul corpo della maschera deve essere montato il filtro per polveri e sul filtro per polveri deve essere montato il filtro per vapori organici";"Sul corpo della maschera deve essere montato il filtro per vapori organici e sul filtro per vapori organici deve essere montato il filtro per polveri";"C";"3"
"Cosa indicano i numeri posti nei filtri dopo la lettera che li contraddistingue (es. A1, P2, A2P2)?";"Indicano la classe di appartenenza e nel caso dei filtri antivapori identificano la quantità di contaminante che il filtro non è in grado di adsorbire";"Nei filtri antipolvere forniscono l'indicazione dei tempi di saturazione del filtro";"Indicano il grado di efficienza e nel caso dei filtri antivapori identificano la capacità filtrante";"C";"3"
"In caso di trattamenti in serra non provvista di impianto di irrorazione automatizzato, quali mezzi di protezione individuale delle vie respiratorie è opportuno utilizzare?";"Casco elettroventilato";"Mascherina facciale filtrante";"Maschera con facciale completo";"A";"1"
"Come è consigliabile che sia la tuta protettiva degli addetti ai trattamenti?";"Di fattura comune, preferibilmente in tessuto in modo da essere traspirante ed evitare l'eccessiva sudorazione dell'operatore";"Impermeabile e possibilmente in due pezzi in modo da agevolare i movimenti durante il lavoro";"In materiale speciale e adatta allo stato fisico del prodotto chimico utilizzato (gassoso, liquido o solido), alla quantità utilizzata e alla pressione di utilizzo";"C";"1"
"Relativamente ai DPI per la protezione del corpo, quale delle seguenti affermazioni è corretta?";"Le tute di Tipo 1 sono quelle con minor grado di protezione.";"Generalmente per le più comuni pratiche fitoiatriche è sufficiente l'impiego di una tuta di Tipo 2";"Generalmente per le più comuni pratiche fitoiatriche è sufficiente l'impiego di una tuta con grado di protezione di Tipo 3, 4, 5, 6";"C";"1"
"Durante l'impiego dei prodotti fitosanitari, quali sono i guanti più comunemente impiegati?";"Gomma nitrilica";"Gomma nitrilica rivestiti internamente in cotone rigorosamente di III categoria";"Compatibilmente con quanto rilevato durante la valutazione del rischio i guanti sono generalmente in gomma nitrilica e neoprene";"C";"2"
"Durante l'esecuzione di un trattamento a mezzo di trattrice non cabinata, gli occhiali protettivi devono essere indossati:";"nei casi in cui non siano usati il casco, la maschera con facciale completo o la visiera;";"non vanno mai indossati";"solo in caso di distribuzione di prodotti fitosanitari irritanti per gli occhi";"A";"1"
"Nei trattori, la cabina pressurizzata con sistema di filtraggio idoneo:";"è un dispositivo di protezione individuale";"non è un dispositivo di protezione collettiva";"è un dispositivo di protezione collettiva";"C";"1"
"Non rispettando le norme sull'uso dei prodotti fitosanitari a quali rischi si sottopone l'operatore?";"Nessun inconveniente";"Intossicazione acuta o cronica";"Solo lievi disturbi";"B";"1"
"Coloro che effettuano trattamenti, o comunque lavorano in ambiente contaminato da prodotti fitosanitari, possono assumere farmaci?";"Sì, in quanto non hanno nulla a che vedere con i prodotti fitosanitari che si danno alle piante";"Si, se si deve fare un ciclo di cure al quale si è abituati";"Si, comunque informandone prima il medico per evitare eventuali interferenze.";"C";"2"
"E' opportuno che una donna in gestazione o in allattamento collabori ai trattamenti?";"Si, se vengono utilizzati prodotti fitosanitari autorizzati in agricoltura biologica";"Si, se provvista di dispositivi di protezione individuali";"No, in nessun caso";"C";"1"
"I prodotti fitosanitari sono suscettibili ad incendiarsi e, comunque, possono bruciare?";"No, è un rischio non riportato in etichetta";"Si, ma solo i liquidi preparati con solventi come lo xilolo";"Sì, alcuni possono autoincendiarsi, e comunque moltissimi possono bruciare se innescati";"C";"3"
"I DPI che appartengono alla 3^ categoria";"sono quelli che offrono garanzie di protezioni maggiori in termini di sicurezza ma che non sono sottoposti a prove di resistenza";"sono quelli che presentano maggiore resistenza al rischio di abrasione";"sono quelli di progettazione complessa destinati a salvaguardare dai rischi di morte o di lesioni gravi e di carattere permanente, riconoscibili dalla marcatura CE";"C";"2"
"Relativamente alla gestione dei DPI";"il lavoratore deve prevedere luoghi in cui riporre gli stessi cosicché da garantire una corretta pulizia";"il lavoratore deve provvedere alla corretta custodia e manutenzione secondo le indicazioni fornite dal datore di lavoro e riporli in luoghi idonei e dotati di attrezzature adeguate (spogliatoi e armadietti).";"il lavoratore deve riporli appesi in luogo fresco e riparato";"B";"1"
"Considerato che i DPI utilizzati dagli addetti ai trattamenti fitosanitari rientrano tra i DPI 3^ categoria, il datore di lavoro deve anche:";"sottoporre i lavoratori a corsi di formazione e informazione e addestramento";"sottoporre i lavoratori a corsi di formazione, informazione e sorveglianza sanitaria";"sottoporre i lavoratori a corsi di formazione, informazione";"A";"1"
"Lo stoccaggio dei prodotti fitosanitari:";"se i prodotti non sono pericolosi, può avvenire negli stessi locali dedicati allo stoccaggio di mangimi";"deve avvenire nei contenitori originali, con etichette integre e leggibili, in locali o armadi dedicati";"deve prevedere il posizionamento dei prodotti su ripiani inferiori rispetto ai mangimi così da garantire un facile recupero in caso di sversamento.";"B";"2"
"Quali sono le problematiche a cui occorre dare priorità durante la predisposizione del locale dei prodotti fitosanitari?";"Prevedere idonei DPI da utilizzarsi durante l'utilizzo dei prodotti fitosanitari";"Prevenire la contaminazione dei corpi idrici e dei lavoratori addetti.";"Prevenire la contaminazione dei corpi idrici e della rete fognaria e prevedere misure di sicurezza per la protezione dell'operatore e delle persone che lo circondano.";"C";"2"
"Quali sono i Requisiti Essenziali di Sicurezza (RES) che l'utilizzatore dei DPI deve verificare?";"La presenza della dichiarazione di conformità, della nota informativa e della marcatura CE sia sul DPI che sull'imballaggio";"La presenza della dichiarazione di conformità";"La presenza della nota informativa";"A";"1"
"Quale fra queste è la situazione più sicura per eseguire la preparazione della miscela e il riempimento del serbatoio?";"Su una piazzola appositamente predisposta.";"Ovunque, basta impiegare adeguati accorgimenti per evitare la contaminazione delle fonti di acqua con i prodotti fitosanitari.";"Nel luogo più vicino possibile al campo da trattare";"A";"3"
"In quali fasi dell'impiego dei prodotti fitosanitari occorre indossare i DPI ?";"Acquisto e trasporto, miscelazione/riempimento, applicazione e pulizia";"Miscelazione/riempimento, applicazione e conservazione";"Miscelazione/riempimento ed eventuale attività di controllo in campo nel tempo di rientro";"C";"3"
"Che cosa indicano le frasi H in una etichetta?";"Il livello di pericolo di un prodotto fitosanitario";"I consigli di prudenza da adottare durante l'uso dei prodotti fitosanitari";"Il livello di rischio collegato all'utilizzo del prodotto fitosanitario";"A";"2"
"Soffiare dentro gli ugelli di distribuzione otturati, è corretto?";"No, in nessun caso, per il grave rischio di intossicazione";"Sì, ma solo se non si usano prodotti pericolosi per ingestione";"Si, a condizione che si utilizzino i DPI";"A";"2"
"Che cosa indicano le frasi P in una etichetta?";"I consigli di prudenza per prevenire gli effetti nocivi conseguenti all'impiego di un prodotto fitosanitario";"Il livello di pericolo di un prodotto fitosanitario";"Il divieto di utilizzare il prodotto in pieno campo";"A";"1"
"Nel caso dell'insorgere di un malessere che si ritiene in qualche modo collegato con l'impiego di prodotti fitosanitari come è opportuno comportarsi?";"Provocare il vomito e mettersi a riposo";"Bere del latte e distendersi per qualche ora";"Rivolgersi al pronto soccorso mostrando le schede di sicurezza dei prodotti utilizzati";"C";"3"
"Cosa si deve fare nel caso in cui il prodotto fitosanitario entri in contatto con gli occhi dell'operatore?";"Attenersi a quanto riportato nella scheda di sicurezza";"Mettere il collirio";"Attenersi a quanto riportato nella etichetta";"A";"2"
"Quali rischi può comportare l'ingestione di alcolici durante i trattamenti con prodotti fitosanitari?";"Nessun rischio";"Interazione tossica fra alcol etilico e prodotto fitosanitario";"Disturbi gastroenterici";"B";"1"
"Quali provvedimenti immediati occorre adottare se durante i trattamenti con prodotti fitosanitari compaiono chiazze cutanee (arrossamenti della pelle e bolle)?";"Il soggetto si deve allontanare dalla fonte di contaminazione e lavare accuratamente le superfici cutanee interessate con acqua e sapone neutro";"Il soggetto deve cospargere immediatamente le superfici cutanee interessate con una pomata medicata";"Il soggetto deve lavare le parti cutanee interessate con alcol";"A";"2"
"In caso di trattamenti in presenza dei corsi d'acqua, per evitare di contaminarli, è necessario:";"salvo specifiche indicazioni previste dalle normative, rispettare la distanza indicata in etichetta";"trattare fino al bordo dell'acqua";"non effettuare trattamenti";"A";"1"
"I trattamenti con prodotti fitosanitari possono essere dannosi per le api?";"No, se si usano insetticidi per contatto";"Si, sempre";"Si, se nella coltura trattata è presente melata";"C";"2"
"Sono consentiti i trattamenti con prodotti fitosanitari tossici per le api durante il periodo della fioritura della coltura?";"Si, ma solo su colture non visitate dalle api (come, ad esempio, il frumento)";"Sì, ad esclusione dei frutteti";"No, in nessun caso";"C";"2"
"E' permesso prelevare acqua dai fossi o dai canali direttamente con mezzi irroranti?";"No";"Si, purché si lavi prima dell'uso il tubo aspirante";"Sì, utilizzando tecniche o dispositivi idonei ad evitare la contaminazione della fonte idrica";"C";"1"
"I contenitori usati dei prodotti fitosanitari, conferiti a una ditta specializzata, devono:";"essere accompagnati solo dalla bolla di trasporto";"essere accompagnati dal formulario di identificazione dei rifiuti";"essere accompagnati dalla fattura di acquisto";"B";"1"
"Il produttore dei rifiuti:";"è responsabile degli stessi fino al momento dell'accettazione da parte dell'impianto di destinazione";"è responsabile degli stessi fino alla consegna alla ditta specializzata";"può avvalersi di una ditta specializzata e non avere più responsabilità";"A";"3"
